	Cruise	position	Station	Type	Date	Time	Latitude	Longitude	cast	Niskin	Cast_Type	depth	Pressure	Density00	Density11	Sal11	SoundVel	SoundVel1	Oxygen_uM	Oxygen_V	Temperature	Conductivity	Conductivity1	BeamT	BeamAt	Fluorescence	Turbidity	UVP5	POC	PON	TOC	TOC_QF	TOC_sd	DOC	DOC_QF	DOC_sd	TN	TN_QF	TN_sd	TDN	TDN_QF	TDN_sd	NH4	NH4_sd	PO4	PO4_sd	SiO4	SiO4_sd	N_N	N_N_sd	NO2	NO2_sd	O2_Winkler	O2_Winkler_sd	Chl_a_Fluor	Phaeo_Fluor	T_a_Fluor	TChl_a	TChl_b	TChl_c	Alpha_beta_Car	But_fuco	Hex_fuco	Allo	Diadino	Diato	Fuco	Perid	Zea	MV_Chl_a	DV_Chl_a	Chlide_a	MV_Chl_b	DV_Chl_b	Chl_c2	Chl_c3	Lut	Neo	Viola	Phytin_a	Phide_a	Pras	Gyro	TChl	PPC	PSC	PSP	TCar	TAcc	TPg	DP	TAcc_Tchla	PSC_TCar	PPC_TCar	TChl_TCar	PPC_Tpg	PSP_TPg	TChla_TPg	BactProd	BactProd_QF	BactProd_sd	BactAbund	BactAbund_QF	BactAbund_sd	PhytoC	NPP	Pro_Influx	Syn_Influx	Pico_Influx	Nano_Influx	TPhyto	Nano	Pico	TPhyto_Sytox	Nano_Sytox	Pico_Sytox	TPhyto_ROS	Nano_ROS	Pico_ROS	Z_MLD	Z_XML	N2	Eddy	Eddy_Loc	Eddy_Polarity	Eddy_Retention	Subregion	MSLA	SLA_std	DMS	EZD	EZD_Morel	Vitamins
NAAMES2-44_S4	AT34	133	4	Cast	5/26/16	6:09	47.392	-38.707	morning	15	Deep	75	76.954	1027.09	1027.091	36.1411	1510.7	1510.7	5.2878	2.8038	15.4528	4.465787	4.465865	97.7824		1.1083								52.5	2	0				9.1	2	0	0.29		0.25		1.14		5.31		0.21		5.88	0.05				0.654	0.137	0.146	0.024	0.029	0.077	0.019	0.019		0.19	0.002	0.004	0.65		0.004	0.137		0.075	0.071		0.015	0.01	0.008	0.035	0.042		0.937	0.066	0.298	1.235	0.364	0.647	1.301	0.458	0.99	0.82	0.18	2.57	0.05	0.95	0.5	15.99	2	0.09	21.2	2	1.39	16.1		0	1810000	31600000	995000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		40	no
NAAMES2-45_S5	AT34	134	4	Cast	5/26/16	6:09	47.392	-38.707	morning	13	Deep	100	101.144	1027.1969	1027.198	36.1417	1511.1	1511.1	5.274	2.791	15.4542	4.467144	4.46717	98.2015		0.8841								53.1	2	0				8.7	2	0	0.07		0.26		1.16		5.31		0.28		5.49	0				0.517	0.109	0.114	0.019	0.025	0.055	0.014	0.015		0.158		0.003	0.515		0.002	0.109		0.059	0.055		0.011	0.007	0.007	0.037	0.032		0.74	0.051	0.238	0.978	0.289	0.512	1.029	0.364	0.99	0.82	0.18	2.56	0.05	0.95	0.5	13.69	2	1.23	14.33	2	1.1	10.8		0	1180000	29200000	878000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		40	no
NAAMES2-46_S6	AT34	135	4	Cast	5/26/16	6:09	47.392	-38.707	morning	11	Deep	150	152.724	1027.4258	1027.4269	36.145	1511.98	1511.98	5.2126	2.7501	15.4595	4.470332	4.470405	98.9269		0.4071								53.1	2	0				8.9	2	0	0		0.26		1.22		5.54		0.35		5.44	0.01																																													11.47	2	0.11	16.1	2	1.57	5.4		0	487000	19300000	631000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		40	no
NAAMES2-47_S7	AT34	136	4	Cast	5/26/16	6:09	47.392	-38.707	morning	9	Deep	200	202.308	1027.643	1027.6442	36.1446	1512.81	1512.81	5.2079	2.7344	15.4637	4.472949	4.47303	98.9148		0.4286								53.1	2	0				8.2	2	0	0.19		0.27		1.2		5.53		0.27		5.65	0.14																																													10	2	0.06	14.7	2	1.22	6.2		0	284000	9740000	296000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		40	no
NAAMES2-48_S56	AT34	137	4	Cast	5/26/16	6:09	47.392	-38.707	morning	7	Deep	300	304.193	1028.1994	1028.2013	35.9309	1510.43	1510.41	5.1044	2.6064	14.2494	4.332551	4.331992	99.8398		-0.0309								51.3	2	0				10.6	2	0	0.04		0.45		2.4		8.25		0		5.59	0.09																																													2.63	2	0.14	1.58	2	0.18			0	343000	10500000	444000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		40	no
NAAMES2-49_S8	AT34	138	4	Cast	5/27/16	6:07	47.333	-38.285	morning	24	Deep	5	6.172	1026.6982	1026.699	36.0997	1510.12	1510.12	5.4626	2.9105	15.661	4.479136	4.47921	94.1328		1.9995																																1.276	0.207	0.279	0.054	0.059	0.23	0.075	0.062	0.009	0.263	0.014	0.01	1.238		0.038	0.207		0.171	0.108	0.001	0.025	0.04	0.012	0.044	0.066		1.762	0.21	0.566	2.328	0.776	1.262	2.538	0.858	0.99	0.73	0.27	2.27	0.08	0.92	0.5																						16	14.62	8.39E-06	Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	47.59380165	22	no
NAAMES2-50_S9	AT34	139	4	Cast	5/27/16	6:07	47.333	-38.285	morning	19	Deep	25	26.155	1026.846	1026.8473	36.1347	1510.04	1510.04	5.4142	2.8767	15.5157	4.469094	4.469229	95.3372		2.0342								54	2	0				8.2	2	0	0.12		0.19		1		4.45		0.07		5.66	0.02				1.216	0.245	0.277	0.048	0.061	0.207	0.06	0.045	0.005	0.268	0.007	0.009	1.19		0.026	0.245		0.161	0.116		0.029	0.03	0.016	0.054	0.084		1.738	0.167	0.543	2.281	0.71	1.232	2.448	0.857	1.01	0.76	0.24	2.45	0.07	0.93	0.5	42.48	2	5.81	8.77	2	1.53	43.8		0	8540000	85100000	3780000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	47.59380165	22	no
NAAMES2-51_S10	AT34	140	4	Cast	5/27/16	6:07	47.333	-38.285	morning	17	Deep	50	49.954	1026.9718	1026.973	36.138	1510.2	1510.2	5.2428	2.7911	15.4365	4.462568	4.462648	98.1364		0.8877								52.7	2	0				8.8	2	0	0.06		0.27		1.17		5.27		0.26		5.56	0.09				0.601	0.145	0.131	0.022	0.03	0.065	0.022	0.016		0.158	0.006	0.003	0.598		0.003	0.145		0.071	0.06		0.015	0.008	0.012	0.043	0.043		0.877	0.063	0.259	1.136	0.322	0.598	1.199	0.429	1	0.8	0.2	2.72	0.05	0.95	0.5	16.46	2	3.74	10.4	2	1.23	12.5		0	8850000	74900000	2660000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	47.59380165	22	no
NAAMES2-52_S11	AT34	141	4	Cast	5/27/16	6:07	47.333	-38.285	morning	15	Deep	75	76.301	1027.0916	1027.093	36.1382	1510.59	1510.59	5.1978	2.7633	15.4215	4.462237	4.462348	98.7857		0.456								53.4	2	0				9.5	2	0	0.12		0.26		1.24		5.51		0.25		5.55	0.23				0.381	0.09	0.087	0.013	0.023	0.041	0.012	0.011		0.105	0.004	0.002	0.376		0.005	0.09		0.046	0.041		0.009	0.005	0.008	0.038	0.026		0.558	0.038	0.173	0.731	0.211	0.388	0.769	0.277	1.02	0.82	0.18	2.64	0.05	0.95	0.5	13.64	2	0.83	7.42	2	1.25	6.7		0	3910000	21500000	663000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	47.59380165	22	no
NAAMES2-53_S12	AT34	142	4	Cast	5/27/16	6:07	47.333	-38.285	morning	13	Deep	100	101.688	1027.2044	1027.2058	36.1383	1511	1511	5.1703	2.7441	15.4187	4.463079	4.463223	99.0132		0.2824								53.4	2	0				9.6	2	0	0.16		0.26		1.27		5.71		0.19		5.4	0				0.266	0.055	0.059	0.01	0.018	0.031	0.011	0.008		0.068	0.003	0.002	0.263		0.003	0.055		0.031	0.028		0.006	0.005	0.006	0.032	0.016		0.38	0.031	0.12	0.5	0.151	0.265	0.531	0.188	1	0.79	0.21	2.52	0.06	0.94	0.5	8.95	2	1.24	5.73	2	0.61	4.8		0	2300000	10900000	415000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	47.59380165	22	no
NAAMES2-54_S13	AT34	143	4	Cast	5/27/16	6:07	47.333	-38.285	morning	11	Deep	150	152.441	1027.4289	1027.4302	36.1306	1511.73	1511.74	5.1886	2.7363	15.391	4.461375	4.461872	98.8164		0.3075								53.8	2	0				8.9	2	0	0.17		0.26		1.26		5.59		0.31		5.43	0.02																																													11.42	2	0.91	6.58	2	0.53	5.7		0	1780000	7670000	321000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	47.59380165	22	no
NAAMES2-55_S14	AT34	144	4	Cast	5/27/16	6:07	47.333	-38.285	morning	9	Deep	200	202.318	1027.6548	1027.6564	36.0957	1512.08	1512.07	5.2129	2.726	15.2455	4.445483	4.445544	98.8105		0.2726								53.8	2	0				9.7	2	0	0		0.25		1.17		5.61		0.35		5.48	0.04																																													10.74	2	0.01	7.23	2	0.68	4.9		0	1920000	9030000	381000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	47.59380165	22	no
NAAMES2-56_S15	AT34	145	4	Cast	5/27/16	6:07	47.333	-38.285	morning	7	Deep	300	303.325	1028.2014	1028.2007	35.9256	1510.26	1510.28	5.0806	2.5946	14.216	4.327176	4.328041	99.8609		-0.0418								51.7	2	0				11.9	2	0	0.09		0.43		2.42		8.27		0		5.6	0.23																																													1.05	2	0.18	3	2	0.38			0	1630000	6590000	497000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	47.59380165	22	no
NAAMES2-57_S16	AT34	146	5	Cast	5/29/16	6:07	44.076	-43.684	morning	24	Deep	5	6.36	1026.3112	1026.3123	35.6993	1510.73	1510.73	5.5229	2.948	16.0065	4.469554	4.469613	92.0501		2.2951																																0.977	0.153	0.277	0.039	0.071	0.286	0.019	0.07	0.008	0.203	0.034	0.075	0.936		0.041	0.153		0.142	0.135		0.017	0.018	0.009	0.051	0.037		1.407	0.211	0.594	2.001	0.805	1.235	2.212	0.841	1.26	0.74	0.26	1.75	0.1	0.9	0.44																						34	30.75	3.49E-05	Y	Periphery	Cyclone	Weak	Subtropical	1.8	4.5	4.26	40.39658228	33	no
NAAMES2-58_S17	AT34	147	5	Cast	5/29/16	6:07	44.076	-43.684	morning	19	Deep	25	25.697	1026.3966	1026.3976	35.6992	1511.05	1511.05	5.5158	2.939	16.0067	4.47039	4.4705	92.0797		2.2176								61	2	0.7				4.7	2	0	0		0.06		0		0.34		0.16		5.75	0.01				0.982	0.152	0.271	0.04	0.07	0.277	0.019	0.07	0.007	0.199	0.034	0.082	0.936		0.046	0.152		0.138	0.133		0.016	0.018	0.009	0.049	0.036		1.405	0.218	0.58	1.985	0.798	1.221	2.203	0.833	1.24	0.73	0.27	1.76	0.1	0.9	0.45	92.57	2	2.9	18.21	2	2.15																			Y	Periphery	Cyclone	Weak	Subtropical	1.8	4.5	4.26	40.39658228	33	no
NAAMES2-59_S18	AT34	148	5	Cast	5/29/16	6:07	44.076	-43.684	morning	17	Deep	50	52.594	1026.603	1026.6046	35.8231	1511.73	1511.73	4.9751	2.6958	16.0374	4.488592	4.488664	98.2967		0.3979								55.3	2	0.3				6.8	2	0	0		0.22		0.64		3.46		0.29		5.54	0.3				0.245	0.055	0.075	0.009	0.025	0.041	0.006	0.014		0.065	0.004	0.006	0.24		0.005	0.055		0.033	0.042		0.005	0.002	0.003	0.027	0.005		0.375	0.035	0.135	0.51	0.17	0.3	0.545	0.202	1.22	0.79	0.21	2.21	0.06	0.94	0.45	16.87	2	1.52	8.52	2	0.79																			Y	Periphery	Cyclone	Weak	Subtropical	1.8	4.5	4.26	40.39658228	33	no
NAAMES2-60_S57	AT34	149	5	Cast	5/29/16	6:07	44.076	-43.684	morning	15	Deep	75	77	1026.8672	1026.8688	35.8741	1510.61	1510.62	4.698	2.5468	15.5267	4.443649	4.443874	99.1487		0.1312								52.5	2	0.7				10.9	2	0	0.02		0.37		1.64		6.44		0.2		5.11	0.25				0.116	0.029	0.034	0.005	0.011	0.018	0.002	0.008		0.035		0.002	0.113		0.003	0.029		0.016	0.018		0.002	0.001	0.002	0.021	0.004		0.179	0.017	0.064	0.243	0.081	0.144	0.26	0.097	1.24	0.79	0.21	2.21	0.07	0.93	0.45	8.59	2	0.05	5.91	2	0.73																			Y	Periphery	Cyclone	Weak	Subtropical	1.8	4.5	4.26	40.39658228	33	no
NAAMES2-61_S19	AT34	150	5	Cast	5/29/16	6:07	44.076	-43.684	morning	13	Deep	100	101.493	1027.0853	1027.0867	35.8556	1509.28	1509.28	4.5065	2.4354	14.9758	4.387526	4.387518	99.6937		0.0019								51.9	2	0.4				11.8	2	0	0		0.49		2.49		8.64		0.15		4.72	0				0.024	0.005	0.007	0.001	0.002	0.004	0.001	0.002		0.009		0.001	0.024			0.005		0.003	0.004		0.001		0.001	0.001	0.001		0.036	0.005	0.015	0.051	0.02	0.032	0.056	0.022	1.33	0.75	0.25	1.8	0.09	0.91	0.43	5.38	2	0.07	2.79	2	0.33																			Y	Periphery	Cyclone	Weak	Subtropical	1.8	4.5	4.26	40.39658228	33	no
NAAMES2-62	AT34	151	5	Cast	5/29/16	6:07	44.076	-43.684	morning	11	Deep	150	152.34	1027.4528	1027.454	35.7484	1506.7	1506.7	4.2343	2.2677	13.9462	4.275101	4.275379	99.8641		-0.0305								49.7	2	0.2				14.4	2	0	0		0.66		3.89		11.3		0		4.44	0																																													2.13	2	0.54	2.27	2	0.24																			Y	Periphery	Cyclone	Weak	Subtropical	1.8	4.5	4.26	40.39658228	33	no
NAAMES2-63_S20	AT34	152	5	Cast	5/29/16	6:07	44.076	-43.684	morning	9	Deep	200	202.484	1027.8316	1027.8299	35.2328	1497.63	1497.69	4.4298	2.2252	11.1996	3.953845	3.955645	99.7418		-0.0138								49.2	2	0.1				15.4	2	0	0		0.83		5.3		13.27		0.01		4.69	0.12																																													3.21	2	0.29	2.76	2	0.33																			Y	Periphery	Cyclone	Weak	Subtropical	1.8	4.5	4.26	40.39658228	33	no
NAAMES2-64_S59	AT34	153	5	Cast	5/29/16	6:07	44.076	-43.684	morning	7	Deep	300	303.505	1028.465	1028.4672	35.0651	1492.89	1492.93	4.0274	1.9866	9.453	3.775754	3.777274	99.8355		-0.0156								47.7	2	0.4				20	2	0	0		1.12		8.58		17.45		0.15		4.23	0.01																																													2.36	2	0.31	2.11	2	0.18																			Y	Periphery	Cyclone	Weak	Subtropical	1.8	4.5	4.26	40.39658228	33	no
N3S1-5m	AT38	251	1	Cast	9/4/17	15:46	42.391	-42.954	afternoon	18	Deep	5	6.015	1025.3105	1025.3101	36.4094	1528.55	1528.57		2.4195	22.0183	5.176218	5.176942	97.3696		0.0477	0.0652	6.308836															0		0.01		0.39		0.11		0		5.14	0.04	0.103278629	0.045366877	0.148645506	0.094	0.007	0.016	0.009	0.008	0.022		0.01	0.001	0.006	0.003	0.042	0.064	0.029	0.001	0.005	0.002	0.009	0.007		0.001	0.002	0.001				0.117	0.062	0.039	0.156	0.101	0.124	0.218	0.088	1.32	0.39	0.61	1.16	0.28	0.72	0.43									13500000	6140000	832000	164000													Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		74.44145264	69	no
N3S1-25_S2	AT38	252	1	Cast	9/4/17	15:46	42.391	-42.954	afternoon	16	Deep	25	26.289	1025.44	1025.4403	36.4067	1528.49	1528.49		2.4227	21.8609	5.160977	5.160756	97.3392		0.0866	0.0661	6.5530363						65.5		1.2				4.5		0.3	0		0.02		0.4		0.07		0		5.19	0.07	0.122609688	0.049527144	0.172136832	0.112	0.009	0.021	0.011	0.01	0.028		0.008	0.001	0.007	0.003	0.047	0.077	0.034	0.001	0.006	0.003	0.011	0.01		0.001	0.002	0.001				0.142	0.067	0.048	0.19	0.115	0.145	0.257	0.104	1.29	0.42	0.58	1.23	0.26	0.74	0.44	21.22	2	0.483	10.6		1.07			15100000	6520000	963000	209000													Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		74.44145264	69	no
N3S1-50_S3	AT38	253	1	Cast	9/4/17	15:46	42.391	-42.954	afternoon	15	Deep	50	51.331	1026.4367	1026.458	36.4463	1520.14	1519.97		2.4875	18.5844	4.8272	4.821684	96.9223		0.3873	0.0756	6.4583464						59.5		0.9				4.5		0.3	0	0	0.05	0.04	0.56	0.1	0.28	TRUE	0.55		5.6	0.02	0.294756863	0.272150972	0.566907835	0.276	0.079	0.075	0.029	0.039	0.099		0.011	0.001	0.013	0.006	0.103	0.173	0.102	0.001	0.066	0.013	0.036	0.039		0.002	0.002	0.003	0.003			0.43	0.144	0.157	0.587	0.301	0.455	0.731	0.339	1.65	0.52	0.48	1.43	0.2	0.8	0.38	33.55	2	1.48	11.8		1.34			24800000	6020000	1100000	293000													Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		74.44145264	69	no
N3S1-75_S4	AT38	254	1	Cast	9/4/17	15:46	42.391	-42.954	afternoon	14	Deep	75	76.001	1026.8394	1026.8398	36.4443	1517.18	1517.18		2.253	17.4835	4.70788	4.708134	97.5058		0.8719	0.0742	6.3138197						57.2		1.5				7		0.5	0		0.14		1.15		3.34		0.13		5.23	0.11	0.41340874	0.375413477	0.788822217	0.371	0.132	0.13	0.032	0.114	0.086	0.002	0.009		0.029	0.008	0.033	0.288	0.08	0.003	0.053	0.079	0.054	0.076		0.003	0.002	0.004	0.007	0.005		0.633	0.076	0.237	0.87	0.313	0.575	0.946	0.404	1.55	0.76	0.24	2.02	0.08	0.92	0.39	13.08	2	0.297	11.3		1.1			183000000	13900000	3240000	959000													Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		74.44145264	69	no
N3S1-100_S5	AT38	255	1	Cast	9/4/17	15:46	42.391	-42.954	afternoon	13	Deep	100	100.596	1026.9707	1026.9717	36.4319	1517.17	1517.17		2.2152	17.3468	4.693646	4.693667	98.0871		0.3149	0.0777	6.0746032						54.5		1.5				7.2		0.2	0		0.14		1.53		3.75		0		5.1	0.03	0.179099496	0.125067974	0.30416747	0.149	0.011	0.072	0.005	0.072	0.044	0.001	0.005		0.018	0.003	0.001	0.148		0.001	0.011		0.025	0.047		0.001	0.001	0.001	0.003	0.001		0.232	0.012	0.137	0.369	0.149	0.232	0.381	0.15	1.56	0.92	0.08	1.56	0.03	0.97	0.39	3.5	2	0.543	4.64		0.31			43800000	9030000	4180000	353000													Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		74.44145264	69	no
N3S1-150	AT38	256	1	Cast	9/4/17	15:46	42.391	-42.954	afternoon	12	Deep	150	151.436	1027.2234	1027.2209	36.3983	1517.32	1517.34		2.2044	17.1332	4.669137	4.670051	98.3916		-0.0044	0.0621	6.3536892						54.3		0.3				6.9		0.4	0		0.18		1.73		3.86		0		5.17	0.01	0.018898822	0.032210789	0.051109611																																										2.12	2	0.256	3.69		0.21																			Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		74.44145264	69	no
N3S1-200_S7	AT38	257	1	Cast	9/4/17	15:46	42.391	-42.954	afternoon	11	Deep	200	202.857	1027.4827	1027.4836	36.3515	1517.24	1517.24		2.1788	16.8321	4.635948	4.636015	98.3808		-0.0474	0.0534	6.3188034						52.6		1				9		0.2													0.008488363	0.035452301	0.043940664																																													3.42		0.28																			Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		74.44145264	69	no
N3S1-300_S8	AT38	258	1	Cast	9/4/17	15:46	42.391	-42.954	afternoon	6	Deep	300	303.345	1027.9868	1027.9875	36.3261	1517.84	1517.84		2.1678	16.4868	4.602091	4.602171	98.5756		-0.037	0.0494	6.278934						53		0.7				9.1		1.5	0		0.23		2.1		4.79		0		5.13	0.03																																													0.86	2	0.178	3.57		0.32																			Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		74.44145264	69	no
N3S1-Ml2_S10	AT38		1	ML	9/5/17	2:00	42.372	-42.89	afternoon	ML	Microlayer	0.1																			145.4		0.4				12.5		0.1				0.56		0.23		0.46		0.78		0.07																																																			6.3		0.56																			Y	Core	Anticyclone	Strong	Gulf_Stream_Sargasso	55.9	0.5		55.53170396	74	no
N3S1-5Ml1_S136	AT38		1.5	ML	9/5/17	16:00	43.7	-42.883	afternoon	ML	Microlayer	0.1																			113.3		4.9				11		0.2				1.4		0.21		0.64		1.99		0																																																			5.91		0.41																			N				Subtropical						no
N3S1-5-5_S19	AT38	243	1.5	Cast	9/5/17	15:35	43.706	-42.901	afternoon	24	Deep	5	7.086	1024.1665	1024.1753	33.0269	1508.84	1508.8		2.4328	16.3805	4.204987	4.204579	95.7293		0.2725	0.1032	6.0596522																																																																																												6.94	4.5	2.48E-04	N				Subtropical						no
N3S1-5-25_S20	AT38	244	1.5	Cast	9/5/17	15:35	43.706	-42.901	afternoon	22	Deep	25	23.547	1024.5977	1024.6011	33.9442	1514.58	1514.57		2.4087	17.8611	4.453452	4.45348	96.4349		0.5666	0.099	6.0696195																																																																															13800000	21100000	5730000	1340000													N				Subtropical						no
N3S1-5-50_S21	AT38	245	1.5	Cast	9/5/17	15:35	43.706	-42.901	afternoon	18	Deep	50	50.415	1025.7959	1025.8012	35.6409	1519.46	1519.46		2.208	18.7284	4.741199	4.741393	96.9858		2.0062	0.1153	6.1792604																																																																															27100000	7690000	11400000	748000													N				Subtropical						no
N3S1-5-75_S22	AT38	246	1.5	Cast	9/5/17	15:35	43.706	-42.901	afternoon	16	Deep	75	79.177	1026.6875	1026.6885	36.0041	1514.61	1514.61		1.9618	16.7704	4.584829	4.584677	98.1408		0.7617	0.1068	6.2639829																																																																															20800000	4790000	12100000	722000													N				Subtropical						no
N3S1-5-100_S23	AT38	247	1.5	Cast	9/5/17	15:35	43.706	-42.901	afternoon	14	Deep	100	104.165	1027.0398	1027.0394	35.9422	1511.16	1511.17		1.8535	15.5341	4.452943	4.453368	98.8079		0.2747	0.0864	6.308836																																																																															27100000	4960000	6550000	460000													N				Subtropical						no
N3S1-5-150_S24	AT38	248	1.5	Cast	9/5/17	15:35	43.706	-42.901	afternoon	12	Deep	150	151.84	1027.4251	1027.428	35.7808	1507.47	1507.46		1.8609	14.1731	4.301466	4.301396	99.3544		-0.0134	0.0726	6.3038524																																																																															2830000	822000	917000	317000													N				Subtropical						no
N3S1-5-200_S25	AT38	249	1.5	Cast	9/5/17	15:35	43.706	-42.901	afternoon	10	Deep	200	204.422	1027.7695	1027.7711	35.5749	1503.91	1503.91		1.9155	12.8958	4.155684	4.155607	99.3745		-0.0263	0.0734	6.3138197																																																																																															N				Subtropical						no
N3S1-5-300_S26	AT38	250	1.5	Cast	9/5/17	15:35	43.706	-42.901	afternoon	8	Deep	300	302.984	1028.406	1028.4085	35.121	1495.06	1495.06		1.723	10.0246	3.836736	3.836786	99.4196		-0.014	0.0728	6.2739503																																																																																															N				Subtropical						no
N3S1a-5_S11	AT38	259	1A	Cast	9/4/17	1:34	42.254	-44.721	morning	24	Deep	5	4.812	1024.1138	1024.1144	35.2693	1530.21	1530.21		2.3927	23.1533	5.150336	5.150331	98.2385		0.1096	0.0629	7.813907																									4.96	0.04				0.17	0.016	0.022	0.022	0.01	0.024		0.007		0.01	0.003	0.077	0.078	0.091	0.001	0.006	0.01	0.012	0.01			0.001	0.002				0.208	0.106	0.047	0.255	0.153	0.191	0.361	0.14	1.12	0.31	0.69	1.36	0.29	0.71	0.47													1087	609	435	30	17	64	1306	3492	1053	18.84	15.5	1.82E-04	N				Gulf_Stream_Sargasso						no
N3S1a-25_S12	AT38	260	1A	Cast	9/4/17	1:34	42.254	-44.721	morning	8	Deep	25	26.052	1024.4633	1024.4615	35.7261	1531.87	1531.86		2.3813	23.4658	5.244296	5.24346	98.2765		0.2028	0.0639	6.3487055						69.7		0.9				4.7		0.2	0		0.36		2.57		7.04		0							0.245	0.033	0.036	0.029	0.015	0.043	0.001	0.007		0.01	0.006	0.071	0.117	0.127	0.001	0.012	0.021	0.018	0.018		0.001	0.002	0.003	0.002			0.314	0.108	0.074	0.388	0.182	0.251	0.496	0.179	1.03	0.41	0.59	1.72	0.22	0.78	0.49	14.74	2	0.83	7.54		0.45			74000000	8750000	973000	389000													N				Gulf_Stream_Sargasso						no
N3S1a-50_S13	AT38	261	1A	Cast	9/4/17	1:34	42.254	-44.721	morning	7	Deep	50	51.54	1024.6148	1024.6152	35.8225	1532.64	1532.64		2.3666	23.5661	5.267634	5.267741	98.3297		0.1598	0.0629	6.3287708						69.4		1.4				4.5		0.3	0		0.46		3.31		9.27		0							0.251	0.034	0.033	0.03	0.014	0.04	0.001	0.006		0.01	0.006	0.076	0.117	0.133	0.001	0.013	0.021	0.017	0.016		0.001	0.002	0.003	0.001			0.318	0.113	0.07	0.388	0.183	0.25	0.501	0.181	1	0.38	0.62	1.74	0.23	0.77	0.5	16.88	2	1.76	7.16		0.6			102000000	5900000	849000	364000													N				Gulf_Stream_Sargasso						no
N3S1a-75_S14	AT38	262	1A	Cast	9/4/17	1:34	42.254	-44.721	morning	6	Deep	75	76.248	1025.6903	1025.698	35.5707	1521.64	1521.6		2.422	19.3596	4.799981	4.798867	98.1587		0.5899	0.0723	6.1094889						66.6		1.3				4.4		0.1	0		0.68		5.14		12.58		0																																																13.44	2	1.13	7.54		0.7			105000000	5980000	589000	449000													N				Gulf_Stream_Sargasso						no
N3S1a-100_S15	AT38	263	1A	Cast	9/4/17	1:34	42.254	-44.721	morning	5	Deep	100	101.636	1026.4362	1026.432	36.3257	1522.32	1522.37		1.9679	19.1808	4.869954	4.871888	98.708		0.4843	0.067	6.0795869						56.6		0.3				7.8		0.4	0	0	1.16		10.01	0.08	19.2		0							0.231	0.113	0.082	0.024	0.052	0.051	0.001	0.006		0.037	0.004	0.015	0.179	0.048	0.004	0.03	0.083	0.028	0.054		0.003	0.001	0.004	0.013	0.005		0.426	0.046	0.144	0.57	0.19	0.385	0.616	0.273	1.67	0.76	0.24	2.24	0.07	0.93	0.38	5.99	2	0.114	7.46		0.48			79400000	8640000	2220000	470000													N				Gulf_Stream_Sargasso						no
N3S1a-150	AT38	264	1A	Cast	9/4/17	1:34	42.254	-44.721	morning	4	Deep	150	151.741	1027.0761	1027.0755	36.1401	1516.41	1516.42		1.9004	16.9217	4.618617	4.618867	99.3007		0.0526	0.0432	6.0746032						56		0.7				10.3		0.1																																																									3.56	2	1.11	4.29		0.42			22500000	735000	1900000	174000													N				Gulf_Stream_Sargasso						no
N3S1a-200_S17	AT38	265	1A	Cast	9/4/17	1:34	42.254	-44.721	morning	3	Deep	200	201.678	1027.4733	1027.472	36.0596	1514.04	1514.1		1.8536	15.9139	4.507221	4.50925	99.4424		-0.0312	0.0412	6.0696195						50.8		1.1				11.2		0.5																																																									1.86	2	0.269																						N				Gulf_Stream_Sargasso						no
N3S1a-300_S18	AT38	266	1A	Cast	9/4/17	1:34	42.254	-44.721	morning	2	Deep	300	303.423	1028.1478	1028.1478	35.723	1508.51	1508.5		1.8182	13.7407	4.259304	4.259034	99.5227		-0.0154	0.037	6.0546685						52.1		1.1				14.9																																																											1.2	2	0.0291	1.95		0.14																			N				Gulf_Stream_Sargasso						no
N3S2-Ml2_S37	AT38		2	ML	9/6/17	16:00	44.358	-43.353	afternoon	ML	Microlayer	0.1																			117.8		0.2				9.4		0.1				0		0.29		0.69		0.95		0.01																																																			7.59		0.56																			Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
